waypoint_id,x,y,z
401,53.1000,-58.3000,81.5000
402,52.2257,-58.4024,81.7000
403,44.6927,-57.4197,81.5000
404,43.7000,-56.9000,81.7000
405,39.3866,-55.8806,81.5000
406,28.3073,-54.2197,81.5000
407,25.0255,-53.1745,81.7000
408,23.9570,-52.7263,81.5000
409,22.9000,-52.7000,81.9000
410,20.1000,-53.3000,81.7000
411,17.4804,-54.1415,81.9000
412,15.4654,-59.9369,81.5000
413,16.6716,-62.9284,81.7000
414,0.4598,-51.7402,81.7000
415,-0.1887,-50.5887,81.7000
416,-8.1346,-55.7369,81.7000
417,-23.2230,-53.7770,81.7000
418,-27.2121,-53.9891,81.7000
419,-28.9000,-55.9000,81.7000
420,-31.2012,-54.2012,81.7000
421,-32.1284,-53.5284,81.5000
422,-34.3000,-49.7000,81.5000
423,-31.6726,-44.5719,81.7000
424,-24.4574,-46.2574,81.9000
425,-23.0197,-48.0927,81.7000
426,-22.9263,-48.5570,84.7000
427,-23.9302,-46.9302,84.5000
428,-26.5866,-45.6806,84.7000
429,-27.5000,-45.7000,84.7000
430,-32.9000,-50.5000,84.5000
431,-32.4737,-52.2430,84.7000
432,-31.7651,-53.3838,84.9000
433,-30.0307,-54.5955,84.7000
434,-25.5693,-55.5955,84.7000
435,-24.1287,-54.4192,84.7000
436,-24.1097,-52.5676,84.7000
437,-7.7955,-57.2307,84.7000
438,-7.2355,-58.0355,84.5000
439,-5.6478,-58.6654,84.7000
440,-3.5000,-60.1000,84.7000
441,-6.8698,-52.1302,84.7000
442,0.1527,-57.7527,84.5000
443,0.7651,-53.6162,84.7000
444,23.1000,-52.1000,84.9000
445,26.1000,-52.7000,84.7000
446,21.4162,-63.5651,84.5000
447,38.4958,-65.6900,84.7000
448,39.1693,-66.1955,84.9000
449,42.2574,-67.5426,84.9000
450,48.1693,-67.5955,84.7000
451,63.3669,-70.1669,84.7000
452,64.7645,-70.8355,84.7000
453,69.6497,-71.4497,84.7000
454,71.8698,-70.2698,84.5000
455,73.1000,-66.1000,84.7000
456,71.8698,-63.9302,84.5000
457,40.9000,-55.7000,84.7000
458,40.2430,-67.2737,87.7000
459,70.1000,-62.1000,87.7000
460,70.7284,-63.6716,87.7000
461,63.7665,-71.0889,87.7000
462,37.1961,-67.2433,87.7000
463,20.3302,-52.1302,87.7000
464,1.6497,-60.6497,87.7000
465,-30.6698,-54.2698,87.5000
466,-30.5527,-54.3527,90.7000
467,-26.7000,-55.9000,90.7000
468,-22.9000,-56.7000,90.5000
469,-18.9000,-57.3000,90.7000
470,-16.6900,-57.9042,90.7000
471,-14.1000,-58.3000,90.7000
472,-10.7000,-58.9000,90.5000
473,-7.4900,-59.5042,90.7000
474,63.5000,-71.5000,90.7000
475,70.8424,-58.9764,90.5000
476,69.9672,-54.8212,90.7000
477,66.9000,-53.5000,90.7000
478,57.7824,-53.2978,90.7000
479,39.5412,-48.7203,90.9000
480,26.0307,-46.6045,90.7000
481,19.6654,-53.1369,90.5000
482,16.3369,-53.2654,90.7000
