mission_waypoint_id,role,device,device_type,region,device_order_index,x,y,z,yaw_deg,pitch_deg,roll_deg,target_x,target_y,target_z,source_phase2_viewpoint_id,source_phase2_row_index
134,inspect_capture,main_transformer,transformer,region_main_transformer,4,31.6974,-99.7069,77.0663,150.17,0.00,0.00,27.5000,-97.3000,77.5000,35,35
135,inspect_capture,main_transformer,transformer,region_main_transformer,4,31.3974,-100.6069,76.7663,147.25,0.00,0.00,27.5000,-98.1000,74.9000,36,36
136,inspect_capture,main_transformer,transformer,region_main_transformer,4,16.0974,-105.4069,76.7663,81.56,0.00,0.00,17.3000,-97.3000,75.1000,39,39
137,inspect_capture,main_transformer,transformer,region_main_transformer,4,10.6974,-104.5069,76.7663,74.24,0.00,0.00,12.9000,-96.7000,75.3000,41,41
138,inspect_capture,main_transformer,transformer,region_main_transformer,4,4.6974,-103.6069,76.7663,72.20,0.00,0.00,7.3000,-95.5000,77.5000,43,43
139,inspect_capture,main_transformer,transformer,region_main_transformer,4,-1.9026,-99.1069,76.7663,27.79,0.00,0.00,5.7000,-95.1000,74.9000,44,44
140,inspect_capture,main_transformer,transformer,region_main_transformer,4,10.6974,-102.7069,84.5663,73.81,0.00,0.00,12.5000,-96.5000,81.1000,45,45
141,inspect_capture,main_transformer,transformer,region_main_transformer,4,10.6974,-100.9069,85.1663,97.32,0.00,0.00,9.9000,-94.7000,80.5000,46,46
142,inspect_capture,main_transformer,transformer,region_main_transformer,4,11.2974,-97.6069,90.2663,71.30,0.00,0.00,13.5000,-91.1000,80.5000,48,48
143,inspect_capture,main_transformer,transformer,region_main_transformer,4,11.8974,-95.2069,90.8663,78.94,0.00,0.00,12.7000,-91.1000,83.3000,49,49
144,inspect_capture,main_transformer,transformer,region_main_transformer,4,6.1974,-94.6069,92.0663,35.63,0.00,0.00,8.3000,-93.1000,86.9000,50,50
145,inspect_capture,main_transformer,transformer,region_main_transformer,4,12.7974,-93.7069,92.9663,87.56,0.00,0.00,12.9000,-91.3000,86.7000,51,51
146,inspect_capture,main_transformer,transformer,region_main_transformer,4,12.1974,-91.9069,94.1663,69.44,0.00,0.00,12.5000,-91.1000,89.3000,52,52
147,inspect_capture,main_transformer,transformer,region_main_transformer,4,13.0974,-91.9069,94.1663,89.82,0.00,0.00,13.1000,-91.1000,89.3000,53,53
148,inspect_capture,main_transformer,transformer,region_main_transformer,4,13.9974,-91.3069,94.4663,126.17,0.00,0.00,13.7000,-90.9000,89.7000,54,54
149,inspect_capture,main_transformer,transformer,region_main_transformer,4,14.9820,-91.2177,94.3628,146.61,0.00,0.00,14.5000,-90.9000,89.9000,55,55
150,inspect_capture,main_transformer,transformer,region_main_transformer,4,9.4974,-90.4069,94.4663,6.08,0.00,0.00,10.5000,-90.3000,89.9000,56,56
151,inspect_capture,main_transformer,transformer,region_main_transformer,4,12.1974,-87.4069,93.2663,-68.52,0.00,0.00,13.1000,-89.7000,86.7000,57,57
152,inspect_capture,main_transformer,transformer,region_main_transformer,4,14.5974,-82.6069,89.9663,-107.02,0.00,0.00,13.1000,-87.5000,83.3000,58,58
153,inspect_capture,main_transformer,transformer,region_main_transformer,4,19.3974,-86.2069,92.0663,-150.63,0.00,0.00,17.1000,-87.5000,86.9000,59,59
154,inspect_capture,shelf4,shelf,region_shelf1_tube1_shelf4,5,33.4974,-75.7069,76.7663,154.83,0.00,0.00,27.1000,-72.7000,78.3000,40,40
155,inspect_capture,shelf4,shelf,region_shelf1_tube1_shelf4,5,32.5974,-78.7069,76.7663,142.15,0.00,0.00,29.5000,-76.3000,75.5000,36,36
156,inspect_capture,shelf4,shelf,region_shelf1_tube1_shelf4,5,34.9974,-79.6069,77.3663,150.53,0.00,0.00,29.5000,-76.5000,78.9000,35,35
157,inspect_capture,shelf4,shelf,region_shelf1_tube1_shelf4,5,35.5974,-80.5069,83.9663,148.02,0.00,0.00,29.5000,-76.7000,80.7000,34,34
158,inspect_capture,shelf4,shelf,region_shelf1_tube1_shelf4,5,35.5974,-79.0069,84.8663,157.65,0.00,0.00,29.5000,-76.5000,81.5000,33,33
159,inspect_capture,shelf4,shelf,region_shelf1_tube1_shelf4,5,34.0974,-75.1069,85.1663,171.77,0.00,0.00,29.9000,-74.5000,83.3000,32,32
160,inspect_capture,shelf4,shelf,region_shelf1_tube1_shelf4,5,32.2974,-70.6069,83.0663,-159.50,0.00,0.00,26.7000,-72.7000,80.7000,31,31
161,inspect_capture,shelf4,shelf,region_shelf1_tube1_shelf4,5,28.3974,-70.0069,83.6663,-154.80,0.00,0.00,23.1000,-72.5000,82.3000,29,29
162,inspect_capture,shelf4,shelf,region_shelf1_tube1_shelf4,5,18.7974,-71.8069,81.5663,46.17,0.00,0.00,18.9000,-71.7000,77.3000,27,27
163,inspect_capture,shelf4,shelf,region_shelf1_tube1_shelf4,5,16.3974,-71.5069,81.5663,3.83,0.00,0.00,16.5000,-71.5000,75.9000,24,24
164,inspect_capture,shelf4,shelf,region_shelf1_tube1_shelf4,5,16.3974,-74.8069,81.2663,80.81,0.00,0.00,16.9000,-71.7000,75.7000,23,23
165,inspect_capture,shelf4,shelf,region_shelf1_tube1_shelf4,5,17.8974,-74.8069,81.2663,78.29,0.00,0.00,18.5000,-71.9000,75.7000,21,21
166,inspect_capture,shelf4,shelf,region_shelf1_tube1_shelf4,5,23.8974,-79.0069,83.3663,115.78,0.00,0.00,22.3000,-75.7000,80.9000,20,20
